
Image Name                     PID Session Name        Session#    Mem Usage
CrossDeviceService.exe       12624 Console                    1     53,988 K
svchost.exe                  12828 Console                    1     19,740 K
SearchHost.exe               12144 Console                    1     91,740 K
StartMenuExperienceHost.e    11332 Console                    1     89,376 K
Widgets.exe                  13380 Console                    1      8,488 K
UserOOBEBroker.exe           13388 Console                    1      5,600 K
RuntimeBroker.exe            13448 Console                    1     41,708 K
svchost.exe                  13472 Console                    1     15,088 K
WidgetService.exe            13676 Console                    1      4,280 K
msedgewebview2.exe           11740 Console                    1     71,228 K
msedgewebview2.exe           14416 Console                    1      2,516 K
msedgewebview2.exe           14840 Console                    1     25,976 K
msedgewebview2.exe           14956 Console                    1      8,688 K
msedgewebview2.exe           15212 Console                    1     71,344 K
RuntimeBroker.exe            15588 Console                    1      2,868 K
BraveCrashHandler.exe        16028 Services                   0      1,084 K
svchost.exe                  16156 Services                   0     12,308 K
BraveCrashHandler64.exe      16316 Services                   0      1,044 K
SecurityHealthSystray.exe    13332 Console                    1      4,400 K
SecurityHealthService.exe    13352 Services                   0     12,524 K
ctfmon.exe                   16224 Console                    1     16,484 K
RtkNGUI64.exe                16584 Console                    1      3,792 K
TextInputHost.exe            17340 Console                    1     28,176 K
svchost.exe                  17740 Console                    1     12,852 K
svchost.exe                  17188 Services                   0      5,516 K
MidiSrv.exe                  18520 Services                   0      3,848 K
CPUMetricsServer.exe         18972 Console                    1      2,796 K
splunk-supervisor.exe        10288 Services                   0     30,828 K
mongod-8.0.exe               19864 Services                   0     63,260 K
python3.13.exe               20956 Services                   0     12,980 K
ipc_broker.exe               21240 Services                   0     13,608 K
identity.exe                  1060 Services                   0     16,988 K
agent-manager.exe             2092 Services                   0     17,860 K
splunk-winevtlog.exe         20064 Services                   0      9,272 K
splunkd.exe                  13748 Services                   0     22,212 K
splunk-spotlight.exe         21396 Services                   0     38,036 K
svchost.exe                   6200 Services                   0      4,008 K
RazerAppEngine.exe            5000 Console                    1    145,112 K
RazerAppEngine.exe            2200 Console                    1     24,240 K
